170,棄却されない場合何も言えないのなんか草,Tue Feb 12 19:11:08 +0000 2019
171,"【公式】 ロジカ／かいりきベア feat.flower https://t.co/DmxG56db3N @YouTubeより

最近聴いたボカロで一番中毒性ある",Tue Feb 12 18:43:49 +0000 2019
172,30分だけスマブラやろ、30分だけ。,Tue Feb 12 17:33:50 +0000 2019
173,統計の教科書一通りオワオワリだけどどうしよ,Tue Feb 12 17:33:30 +0000 2019
174,0時から勉強する,Tue Feb 12 14:47:13 +0000 2019
175,いいねの数なんかバグってね？,Tue Feb 12 14:41:45 +0000 2019
176,よしなまの動画の見すぎでめっちゃ早口になってたわ今日,Tue Feb 12 11:53:12 +0000 2019
177,図書館と名のつく講義が1つだけ…,Tue Feb 12 10:29:49 +0000 2019
178,あ、とれないわ,Tue Feb 12 10:23:11 +0000 2019
179,とりたい,Tue Feb 12 10:21:08 +0000 2019
180,インターネット動画メディア論、2年のうちにとれるんじゃね？,Tue Feb 12 10:21:01 +0000 2019
181,1年で俺らが受けた授業ほとんど消えてるじゃん,Tue Feb 12 10:19:31 +0000 2019
182,龍郎と天地がやってないから…,Tue Feb 12 09:59:06 +0000 2019
183,むじゃきめっちゃ人いるｗ,Tue Feb 12 09:58:53 +0000 2019
184,3日連続ラーメン&amp;徹夜の未来がみえる,Tue Feb 12 09:32:54 +0000 2019
185,夕方まで寝るか,Mon Feb 11 22:24:31 +0000 2019
186,"@yntpass ラーメン2連続かよ笑
よくわかってるじゃん笑",Mon Feb 11 21:59:30 +0000 2019
187,@yntpass やべ、やってない笑,Mon Feb 11 21:55:42 +0000 2019
188,木曜英語の存在完全に忘れてた…,Mon Feb 11 21:47:10 +0000 2019
189,なんやねんこの文章,Mon Feb 11 19:54:43 +0000 2019
190,"それでは、もう夢も希望もないのでしょうか。
そんなことはありません。青い鳥は意外と身近にいるものです。",Mon Feb 11 19:54:31 +0000 2019
191,教科書言い回しが時々イラッとくる,Mon Feb 11 19:17:08 +0000 2019
192,統計の教科書、読者 と書いて ひと と読ませるな,Mon Feb 11 07:44:03 +0000 2019
193,今から間に合うのかこれ,Mon Feb 11 06:26:08 +0000 2019
194,統計やらなければ…,Mon Feb 11 06:25:43 +0000 2019
195,@sparkling_hsy @YouTube わかる,Mon Feb 11 06:12:22 +0000 2019
196,スマブラ本気でやるならプロコン買ったほうがいいですかね…？,Fri Feb 08 07:21:31 +0000 2019
197,公務員講座の紙出す場所どこですか,Fri Feb 08 07:16:20 +0000 2019
198,12時までに起きれなかったら中国語無条件で落単だからなぁ,Wed Feb 06 22:18:18 +0000 2019
199,いや寝るのこわすぎる,Wed Feb 06 22:17:38 +0000 2019
200,"おはようございます
おやすみなさい",Wed Feb 06 22:12:03 +0000 2019
201,喰種もufoが制作してれば神アニメになってたかもとか思ってる,Wed Feb 06 19:10:26 +0000 2019
202,制作 ufotable の安心感,Wed Feb 06 19:09:26 +0000 2019
203,"鬼滅の刃面白そう
全然ジャンプっぽくないね",Wed Feb 06 19:09:06 +0000 2019
204,正直明日の勉強何したらいいからわからん,Wed Feb 06 18:41:08 +0000 2019
205,標準語に変換する余裕がねえ,Wed Feb 06 05:11:01 +0000 2019
206,めっちゃ訛った気がする…,Wed Feb 06 05:10:45 +0000 2019
207,8時半まで寝る,Tue Feb 05 22:11:08 +0000 2019
208,統計憂鬱だなぁ,Tue Feb 05 21:50:12 +0000 2019
209,"徹夜したのにほとんど勉強してねぇ
何してたんだろ…",Tue Feb 05 21:49:43 +0000 2019
210,眠い、ラーメン食いたい,Tue Feb 05 19:55:19 +0000 2019
211,明日絶対オールすることになるから今日オールしとこかな,Tue Feb 05 16:33:19 +0000 2019
212,今からやる,Tue Feb 05 16:19:17 +0000 2019
213,中国語やばいかも,Tue Feb 05 16:19:09 +0000 2019
214,今日結局パワポつくっただけなんだが,Tue Feb 05 16:18:58 +0000 2019
215,@sparkling_hsy マジかｗ明日行きたくなくなってきたわ…,Tue Feb 05 15:03:43 +0000 2019
216,@sparkling_hsy 怖い顔ｗｗ,Tue Feb 05 14:58:28 +0000 2019
217,@sparkling_hsy 俺らの担任そういうの気にしないから大丈夫,Tue Feb 05 14:55:43 +0000 2019
218,"@sparkling_hsy 最後のスライドにバーッと載せたよ
まぁなくてもいいんじゃね？",Tue Feb 05 14:53:41 +0000 2019
219,@irizon_klis 乙ですな,Tue Feb 05 14:35:01 +0000 2019
220,@irizon_klis あれ、可能になってるんだ,Tue Feb 05 14:26:54 +0000 2019
221,@irizon_klis もうすぐ提出締切やぞ笑,Tue Feb 05 14:22:59 +0000 2019
222,@sparkling_hsy だよね、あざーす,Tue Feb 05 14:21:45 +0000 2019
223,@yntpass まぁなんでもいいと思うｗ,Tue Feb 05 11:53:14 +0000 2019
224,@yntpass 通常だと16:9になってた気がする,Tue Feb 05 11:09:07 +0000 2019
225,リテラシのパワポって4:3だっけ？,Tue Feb 05 04:51:25 +0000 2019
226,"@sparkling_hsy @yntpass マジか
ちょっとだけ仮眠とりますわ",Mon Feb 04 05:30:15 +0000 2019
227,@yntpass え、今どこかでやってる？笑,Mon Feb 04 05:28:08 +0000 2019
228,(月曜)中国語からの解放,Mon Feb 04 04:06:39 +0000 2019
229,中国語やろう,Sun Feb 03 22:45:42 +0000 2019
230,早く来すぎだろｗ,Sun Feb 03 22:45:30 +0000 2019
231,教室誰もいない,Sun Feb 03 22:45:14 +0000 2019
232,@irizon_klis なるほ,Sun Feb 03 22:44:54 +0000 2019
233,@yntpass あいよ,Sun Feb 03 21:23:54 +0000 2019
234,@yntpass 行こうぜー,Sun Feb 03 21:22:40 +0000 2019
235,今から寝るより1限の教室で寝た方が色々良さそう,Sun Feb 03 21:01:06 +0000 2019
236,オール,Sun Feb 03 20:56:09 +0000 2019
237,これ1限でるのきつすぎでは,Sun Feb 03 20:55:43 +0000 2019
238,"進撃はpvだけでも面白い
てか作画神すぎでは",Sun Feb 03 17:05:56 +0000 2019
239,魔剤が身体に染み渡るこの感覚…気持ちよすぎる,Sun Feb 03 16:42:24 +0000 2019
240,"@sparkling_hsy いくしかないっすねぇ
オールするか…",Sun Feb 03 16:35:04 +0000 2019
241,本日2本目の魔剤キメるかめちゃ迷ってる,Sun Feb 03 16:32:11 +0000 2019
242,明日英語ないのはほんまに救い,Sun Feb 03 16:27:04 +0000 2019
243,誰かと勉強したい、一人で勉強とかムリっす,Sun Feb 03 16:22:51 +0000 2019
244,あっ… 中国語……,Sun Feb 03 15:57:00 +0000 2019
245,リフレッシュ体操のシラバスじわる,Sun Feb 03 15:53:21 +0000 2019
246,リフレッシュ体操、異次元の動きができるらしい,Sun Feb 03 15:52:22 +0000 2019
247,"@irizon_klis 言うて下手だけど中学の時よくやってた
いりぞんもう決めたの？",Sun Feb 03 15:51:38 +0000 2019
248,体育、バスケ以外やりたいのあんまねぇ…,Sun Feb 03 15:48:19 +0000 2019
249,難易度もやってることも課題と同じくらいだった,Fri Feb 01 02:39:32 +0000 2019
250,プロ演オワオワリ,Fri Feb 01 02:39:13 +0000 2019
251,@sparkling_hsy ありよりのあり,Thu Jan 31 16:31:11 +0000 2019
252,"@sparkling_hsy いいね
3期の1話筑波山に登る回だから良いよ",Thu Jan 31 16:24:09 +0000 2019
253,@sparkling_hsy ヤマノススメもいいぞ,Thu Jan 31 16:18:12 +0000 2019
254,雪降ってるの興奮する,Thu Jan 31 13:58:02 +0000 2019
255,え、やばくね？(志恩 麺特盛 野菜1kg) https://t.co/jb1PxjPZiA,Fri Jan 25 09:38:08 +0000 2019
256,@sparkling_hsy さすがにねｗ,Wed Jan 23 00:49:22 +0000 2019
257,@sparkling_hsy それは草,Wed Jan 23 00:46:10 +0000 2019
258,@sparkling_hsy まだトイレいるの？ｗ,Wed Jan 23 00:45:16 +0000 2019
259,@sparkling_hsy 二限終了まで,Wed Jan 23 00:44:39 +0000 2019
260,クソ下手だけど楽しかった,Wed Jan 23 00:43:38 +0000 2019
261,マンガ書き終わったーｗ,Wed Jan 23 00:43:11 +0000 2019
262,レポートが漫画って斬新だなぁ,Tue Jan 22 23:51:09 +0000 2019
263,"@Fukukazu373 特に何も言ってなかったけど、課題用紙の例の値でやってみたらたまたま出来たってかんじかな
先生からのアナウンス待ちですね…",Mon Jan 21 08:06:22 +0000 2019
264,"@Fukukazu373 λ=1, 5にして出力ファイル名を ans_taskc.txt にすると一応提出できるよ
これは出題側のミスっぽい…",Mon Jan 21 08:00:22 +0000 2019
265,@irizon_klis あっ…(察し)ふーん,Mon Jan 21 07:32:26 +0000 2019
266,@magipoka_S94 意外とかまってちゃんで草,Mon Jan 21 07:30:59 +0000 2019
267,課題Dも何故か提出できないしやる気でねえ,Mon Jan 21 07:30:29 +0000 2019
